kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten,kemendagri_nama_kabupaten,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kejadian_bencana,jumlah,satuan
11,Aceh,11.16,Aceh Tamiang,11.16.01,Manyak Payed,Pohon Tumbang ,3,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.02,Bendahara,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.03,Seruway,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.03,Seruway,Tanggul Jebol,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.03,Seruway,Evakuasi Orang Hanyut dan Tenggelam ,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.04,Rantau ,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.05,Karang Baru,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.05,Karang Baru,Pohon Tumbang ,6,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.05,Karang Baru,Kebakaran Lahan,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.05,Karang Baru,Evakuasi Orang Hanyut dan Tenggelam ,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.06,Kota Kualasimpang,Kebakaran Lahan,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.06,Kota Kualasimpang,Gagal Teknologi,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.06,Kota Kualasimpang,Pohon Tumbang ,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.06,Kota Kualasimpang,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.07,Kota Kualasimpang,Evakuasi Orang Hanyut dan Tenggelam ,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.07,Kejuruan Muda,Kebakaran Lahan,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.07,Kejuruan Muda,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.08,Tamiang Hulu,Banjir,3,Kejadian
,,11.16,Aceh Tamiang,11.16.08,Tamiang Hulu,Pohon Tumbang ,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.08,Tamiang Hulu,Longsor,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.09,Banda Mulia,Gempa Bumi 4,4 SR,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.09,Banda Mulia,Pohon Tumbang ,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.10,Sekerak,Banjir,2,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.10,Sekerak,Longsor,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.11,Tenggulun,Banjir,3,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.12,Bandar Pusaka,Gempa Bumi 2,9 SR,1,Kejadian
11,Aceh,11.16,Aceh Tamiang,11.16.12,Bandar Pusaka,Banjir,2,Kejadian
,,,,,,,,
,,,,,,,,
